antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Oxford Cloth'}),frozenset({'Leather'}),0.13695871097683787,0.12185297079556898,0.021148036253776436,0.15441176470588236,1.267197374817696,0.004459210444917039,1.0385043127982836,0.24431849752736573
frozenset({'Leather'}),frozenset({'Camp Collared'}),0.12185297079556898,0.13695871097683787,0.021148036253776436,0.17355371900826447,1.2671973748176957,0.004459210444917039,1.0442799597180261,0.24011577107907386
frozenset({'Leather'}),frozenset({'Oxford Cloth'}),0.12185297079556898,0.13695871097683787,0.021148036253776436,0.17355371900826447,1.2671973748176957,0.004459210444917039,1.0442799597180261,0.24011577107907386
frozenset({'Cords'}),frozenset({'Slim-Fit'}),0.11983887210473314,0.14602215508559918,0.022155085599194362,0.18487394957983194,1.2660678064329183,0.004655955231433733,1.0476635416991105,0.23876638235905973
frozenset({'Slim-Fit'}),frozenset({'Cords'}),0.14602215508559918,0.11983887210473314,0.022155085599194362,0.1517241379310345,1.266067806432918,0.004655955231433733,1.0375883215025505,0.24608704974271015
frozenset({'Relaxed Leg'}),frozenset({'Denim'}),0.13997985901309165,0.23867069486404835,0.04229607250755287,0.302158273381295,1.2660049175849193,0.008886982289926765,1.0909770455040957,0.24431247908999654
frozenset({'Denim'}),frozenset({'Relaxed Leg'}),0.23867069486404835,0.13997985901309165,0.04229607250755287,0.17721518987341772,1.2660049175849193,0.008886982289926765,1.0452552482763964,0.2759826152683294
frozenset({'Chambray'}),frozenset({'Cords'}),0.13293051359516617,0.11983887210473314,0.02014098690835851,0.15151515151515152,1.264323911382735,0.004210744090810903,1.0373327578765645,0.2411149825783972
frozenset({'Cords'}),frozenset({'Chambray'}),0.11983887210473314,0.13293051359516617,0.02014098690835851,0.1680672268907563,1.2643239113827347,0.004210744090810903,1.042235039213891,0.23752860411899313
frozenset({'Trench Coat'}),frozenset({'Camp Collared'}),0.1339375629405841,0.13695871097683787,0.023162134944612285,0.17293233082706766,1.2626603272888102,0.004818218972890798,1.043495376728005,0.2401921132457027
frozenset({'Trench Coat'}),frozenset({'Oxford Cloth'}),0.1339375629405841,0.13695871097683787,0.023162134944612285,0.17293233082706766,1.2626603272888102,0.004818218972890798,1.043495376728005,0.2401921132457027
frozenset({'Camp Collared'}),frozenset({'Trench Coat'}),0.13695871097683787,0.1339375629405841,0.023162134944612285,0.1691176470588235,1.2626603272888102,0.004818218972890798,1.0423406322131021,0.24103292577748459
frozenset({'Oxford Cloth'}),frozenset({'Trench Coat'}),0.13695871097683787,0.1339375629405841,0.023162134944612285,0.1691176470588235,1.2626603272888102,0.004818218972890798,1.0423406322131021,0.24103292577748459
frozenset({'Slim-Fit'}),frozenset({'Casual Slim Fit'}),0.14602215508559918,0.14803625377643503,0.027190332326283987,0.18620689655172415,1.2578465869106266,0.0055737595190502726,1.0469046034103129,0.2400419287211741
